	Name	Name2	Location	N2	Lat	Lon
93	Moody Park 	Moody Park	3812 Baden Street	Near Northside	29.79369	-95.3654
94	Quitman Near Northside METRORail	Quitman Near Northside METRORail	"638 Quitman St Houston, TX 77009"	Near Northside	29.780742	-95.363655
95	Saint Arnold Brewing Company	Saint Arnold Brewing Company	2000 Lyons Ave	Near Northside	29.77155	-95.34773
96	Burnett Transit Center	Burnett Transit Center	590 Burnett St	Near Northside	29.77201	-95.35917
97	The Exchange @ Hardy Yards	The Exchange @ Hardy Yards	1250 Leona St	Near Northside	29.77284214	-95.35550729
98	Earl Henderson Park	Earl Henderson Park	4250 Elysian St	Near Northside	29.79908836	-95.35083212
99	Rice U. Cambridge Office Bldg	Rice University Cambridge Office Building	6100 Main St.	Rice University	29.7166	-95.3975
100	Rice U. Duncan Hall	Rice University Duncan Hall	Laboratory Rd.	Rice University	29.72059	-95.39869
101	Rice U. Gibbs Rec & Wellness	Rice University Gibbs Recreation & Wellness Center	20 Alumni Dr.	Rice University	29.71861	-95.40384
102	Rice U. Greenbriar Lot	Rice University Greenbriar Lot	5650 Greenbriar Dr.	Rice University	29.7157	-95.4126
103	Rice U. South Servery	Rice University South Servery	Alumni Dr.	Rice University	29.71537	-95.40145
104	Rice U. West Lot	Rice University West Lot	College Way	Rice University	29.715	-95.4062
105	Rice Village Apartments	Rice Village Apartments	2410 Shakespeare St.	Rice University	29.71434	-95.41499
106	Amherst & Kelvin	Amherst & Kelvin	2503 Amherst St	Rice University	29.71569975	-95.41674512
107	Dunstan & Kelvin	Dunstan & Kelvin	5200 Kelvin Dr	Rice University	29.7191	-95.41671
108	Houston BCycle Headquarters	Houston BCycle Warehouse	5603 Navigation Blvd	Greater East End	29.74793	-95.31656
109	Change Happens	Change Happens!	3353 Elgin St	Third Ward	29.7291	-95.3535
110	Emancipation Park	Emancipation Park	3100 Emancipation Street	Third Ward	29.73529	-95.36453
111	Project Row House/Holman & Live Oak	Project Row House/Holman & Live Oak	2521 Holman St.	Third Ward	29.73169	-95.3649
112	MLK & Griggs	MLK & Griggs	5714 Martin Luther King Blvd	Third Ward	29.69825869	-95.33684638
113	Park @ Palm Center	Park @ Palm Center	6003 Beekman Rd	Third Ward	29.69504	-95.332149
114	Perry & Milart	Perry & Millart	"6110 Milart St, Houston, TX 77021"	Third Ward	29.693419	-95.341336
115	UT Research Park	UT Research Park	East Road	TMC	29.69384	-95.39421
116	UTHSC Housing & Rec Center	UTHSC Housing & Rec Center	Bertner Ave & West Rd	TMC	29.69151	-95.39655
117	Ben Taub Hospital	Ben Taub Hospital	1504 Ben Taub Loop	TMC	29.71147	-95.39331
118	BioScience Research Collaborative	BioScience Research Collaborative	6500 S Main St	TMC	29.71083	-95.40156
119	TMC Smith Lands METRORail Parking Lot	TMC Smith Lands METRORail Parking Lot	7800 Greenbriar Dr	TMC	29.69684	-95.40512
120	TMC Commons	TMC Commons	Bernter Ave.	TMC	29.70932	-95.39856
121	TMC Dryden METROrail	TMC Dryden METRORail	6595 Fannin St	TMC	29.70984	-95.40064
122	Memorial Hermann Hospital Houston Zoo METRORail	Memorial Hermann Hospital Houston Zoo METRORail	Ross Sterling Ave & Fannin St	TMC	29.71391	-95.39733
123	TMC Garage 2	TMC Garage 2	1150 Bates	TMC	29.70725	-95.39929
124	TMC Garage 8	TMC Garage 8	2151 W. Holcombe	TMC	29.70604	-95.40801
125	TMC Innovation	TMC Innovation	2450 Holcombe Blvd	TMC	29.70377	-95.3822
126	TMC Pressler & Bertner	TMC Pressler & Bertner	1200 Pressler Street	TMC	29.70447	-95.39884
127	TMC Transit Center	TMC Transit Center METRORail	6910 Fannin St	TMC	29.70362	-95.40352
128	UTMDA 1MC Bertner & Braeswood	UTMDA 1MC Bertner & Braeswood	7007 Bertner Ave	TMC	29.70027	-95.39869
129	UTMDA Main Campus MDA Blvd	UTMDA Main Campus MDA BLVD	6499 MD Anderson Blvd	TMC	29.70758	-95.39566
130	TSU Rec & Wellness Center	TSU Rec & Wellness Center		TSU	29.72258	-95.36395
131	TSU Student Center East	TSU Student Center East		TSU	29.7212	-95.36031
132	TSU Student Center West	TSU Student Center West	3100 Celburne St	TSU	29.72167	-95.36164
133	TSU University Courtyard Apartments	TSU University Courtyard Apartments	0450 Tierwester S	TSU	29.71881	-95.35838
134	TSU University Towers	TSU University Towers	3531 Wheeler St	TSU	29.72066	-95.35627
135	UH Blaffer Art Museum/GDH School of Architecture	UH Blaffer Art Museum/GDH School of Architecture	4188 Elgin St	UH	29.72454	-95.34209
136	UH Cougar Village	UH Cougar Village	Cougar Village Dr.	UH	29.71802	-95.34259
137	UH Student Center North	UH Student Center North	4465 University Dr	UH	29.72092	-95.34133
138	UH Student Garage/METRORail	UH Student Garage/METROrail	4501 Wheeler Avenue	UH	29.71607	-95.34088
139	UH TDECU Cullen & Cougar Place	UH TDECU Cullen & Cougar Place	3875 Holman St	UH	29.72061	-95.34835
140	UH Technology Bridge	UH Technology Bridge	2190 Schlumberger St	UH	29.7179	-95.32812
141	UHD Main & Franklin	UHD/Main & Franklin	100 Main Street	UHD	29.76318	-95.35996
142	UHD Daly Parking Lot	UHD Daly Parking Lot	1599 Daly Pl	UHD	29.7702	-95.3595
143	UHD Jesse H. Jones Student Life Center	UHD Jesse H. Jones Student Life Center	150 Girard St	UHD	29.76676	-95.35963
144	UHD Soccer Field / White Oak Bayou Trailhead	UHD Soccer Field / White Oak Bayou Trailhead	Heights Hike and Bike Trail	UHD	29.76912019	-95.36069779
145	UHD Shea St Building/Lot B	UHD Shea St. Building / Lot B	"1115 Naylor St Houston, Tx 77002"	UHD	29.76987	-95.35802
146	24ELEVEN WASHINGTON	24ELEVEN WASHINGTON	2411 Washington Ave	Washington Corridor	29.7681	-95.3832
147	Jackson Hill & Memorial Dr	Jackson Hill & Memorial Dr.	300 Jackson St.	Washington Corridor	29.76337	-95.4017
148	Pearl Washington	Pearl Washington	5418 Washington Ave	Washington Corridor	29.77078	-95.41696
149	The Parker @ Memorial	The Parker @ Memorial	160 Birdsall	Washington Corridor	29.76283	-95.42001
150	The Silos @ Sawyer Yards	The Silos @ Sawyer Yards	1502 Sawyer St	Washington Corridor	29.7715322	-95.3826666
151	South Yard Washington@ Silver	South Yards Silver & Center	"1818 Washington Ave, Houston TX 77007"	Washington Corridor	29.768427	-95.377182
152	Washington & Mentor 	Washington & Mentor	"1002 Washington Ave, Houston, TX 77002"	Washington Corridor	29.766608	-95.368168
153	Rusk & St. Emanuel	Rusk & St. Emanuel	736 St. Emanuel	NONE	29.75273	-95.35419
154	MacGregor Park	MacGregor Park	5225 Calhoun Rd	NONE	29.71017	-95.34025
155	Louisiana & Walker	Louisiana & Walker	Louisiana St & Walker St	Downtown	29.75951099	-95.36697547
156	Winpark / Four Oaks	Post Oak & 4Oaks Pl.	Unknown	Memorial (Park)	29.752519	-95.459950
157	NRG - Fannin	NRG - Fannin	"1NRG Park Houston, TX 77054"	Inner Loop SW	29.68647	-95.40392
